listing_id,id_x,date,temp_max,temp_min,apparent_temp_max,apparent_temp_min,rain,wind_speed,wind_gust,humidity,neighbourhood_cleansed,property_type,room_type,host_is_superhost,price,sentiment_stars,weather_category,weather_sentence,weather_sentiment_score
810042,1102743668636634629,2024-03-01,23.4,15.8,25.7,16.2,0.0,18.0,51.5,83.0,Ward 64,Entire cottage,Entire home/apt,t,1526.0,4.31,Heat,Loved the outside (hot) shower and visits from the charming cat.,4.37
811611,1104210506354708276,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 77,Entire guest suite,Entire home/apt,t,,4.66,,,
811611,1121562288719493672,2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375,Ward 77,Entire guest suite,Entire home/apt,t,,4.78,,,
19271,1104207912107311383,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 59,Entire guest suite,Entire home/apt,t,700.0,4.86,,,
842387,1112867193491358078,2024-03-15,24.2,12.2,25.9,11.7,0.0,15.3,45.0,78.41666667,Ward 77,Private room in home,Private room,t,697.0,4.92,Rain,"Auch, als ich kurzfristig einen Wet Suit für ein Casting brauchte;)Nochmal herzlichen Dank dafür!<br/>Danke für diese wundervolle Zeit!<br/>Ich kann Adam's Place jedem zu 100% empfehlen.<br/>Ich komme auf jeden Fall wieder.",4.93
857701,1109340110845599204,2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875,Ward 61,Entire home,Entire home/apt,f,2886.0,4.78,,,
875916,1108592412678429673,2024-03-09,24.8,16.8,26.8,16.0,0.0,21.1,57.2,74.875,Ward 74,Entire rental unit,Entire home/apt,f,2315.0,4.68,,,
893053,1105002204292309601,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 115,Entire rental unit,Entire home/apt,f,1674.0,4.91,,,
893053,1119430888249342789,2024-03-24,21.5,15.1,20.2,14.5,0.0,20.3,65.9,68.875,Ward 115,Entire rental unit,Entire home/apt,f,1674.0,4.94,,,
897063,1115082598047201010,2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333,Ward 115,Entire rental unit,Entire home/apt,f,799.0,4.85,,,
897063,1121603316328536926,2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375,Ward 115,Entire rental unit,Entire home/apt,f,799.0,4.06,,,
36347,1103448091529817777,2024-03-02,25.9,17.5,26.0,14.2,0.0,38.9,106.6,79.29166667,Ward 115,Entire loft,Entire home/apt,f,1022.0,4.91,,,
900141,1104974373687797269,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 55,Entire cottage,Entire home/apt,f,1219.0,4.68,,,
900141,1112886155790169702,2024-03-15,24.2,12.2,25.9,11.7,0.0,15.3,45.0,78.41666667,Ward 55,Entire cottage,Entire home/apt,f,1219.0,3.54,,,
900141,1120917725819986387,2024-03-26,24.2,15.6,24.0,14.9,0.1,29.2,81.4,78.41666667,Ward 55,Entire cottage,Entire home/apt,f,1219.0,4.78,,,
122455,1109297491326733888,2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875,Ward 115,Entire home,Entire home/apt,f,3897.0,4.82,,,
133339,1115084586579988540,2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333,Ward 77,Private room in cottage,Private room,f,1342.0,4.65,,,
200211,1110758479804738067,2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667,Ward 54,Entire condo,Entire home/apt,t,994.0,4.28,,,
218269,1122365875983212289,2024-03-28,22.4,15.7,21.2,13.8,0.0,33.1,91.8,79.33333333,Ward 115,Entire cottage,Entire home/apt,t,740.0,4.6,,,
1049961,1123833934084561414,2024-03-30,33.8,15.2,34.8,15.1,0.0,17.4,46.8,58.75,Ward 115,Entire rental unit,Entire home/apt,f,1830.0,4.61,,,
1058642,1103441466021813759,2024-03-02,25.9,17.5,26.0,14.2,0.0,38.9,106.6,79.29166667,Ward 54,Entire guesthouse,Entire home/apt,t,2302.0,4.85,,,
1058642,1107091098279705565,2024-03-07,21.8,13.2,20.0,12.9,0.0,24.1,76.0,77.95833333,Ward 54,Entire guesthouse,Entire home/apt,t,2302.0,4.59,,,
1058642,1109280180173676486,2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875,Ward 54,Entire guesthouse,Entire home/apt,t,2302.0,4.1,,,
1058642,1111432704861488244,2024-03-13,24.0,15.5,23.0,15.7,0.0,19.9,58.0,66.125,Ward 54,Entire guesthouse,Entire home/apt,t,2302.0,4.94,,,
1058642,1112907109957184070,2024-03-15,24.2,12.2,25.9,11.7,0.0,15.3,45.0,78.41666667,Ward 54,Entire guesthouse,Entire home/apt,t,2302.0,3.97,,,
1058642,1114420908291439963,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 54,Entire guesthouse,Entire home/apt,t,2302.0,2.47,,,
