listing_id,neighbourhood_cleansed,property_type,room_type,host_is_superhost,price
282586,Ward 54,Entire cottage,Entire home/apt,true,3842.0
1626659,Ward 23,Private room in guesthouse,Private room,true,759.0
563459,Ward 115,Entire home,Entire home/apt,false,890.0
1653819,Ward 115,Entire rental unit,Entire home/apt,false,1000.0
1684882,Ward 57,Entire loft,Entire home/apt,true,3702.0
660099,Ward 4,Entire serviced apartment,Entire home/apt,false,729.0
2895692,Ward 115,Entire condo,Entire home/apt,false,
2446152,Ward 77,Private room in home,Private room,,472.0
4254464,Ward 62,Entire home,Entire home/apt,false,8455.0
4340008,Ward 54,Entire condo,Entire home/apt,false,1679.0
4553566,Ward 58,Private room in rental unit,Private room,false,429.0
4740365,Ward 74,Entire home,Entire home/apt,true,2829.0
5442946,Ward 77,Entire guest suite,Entire home/apt,true,907.0
5461009,Ward 61,Entire rental unit,Entire home/apt,true,519.0
810042,Ward 64,Entire cottage,Entire home/apt,true,1526.0
900141,Ward 55,Entire cottage,Entire home/apt,false,1219.0
218269,Ward 115,Entire cottage,Entire home/apt,true,740.0
731882,Ward 115,Entire condo,Entire home/apt,true,1620.0
768582,Ward 54,Entire rental unit,Entire home/apt,false,1071.0
3318572,Ward 77,Entire condo,Entire home/apt,true,1062.0
2252203,Ward 54,Entire home,Entire home/apt,true,7715.0
3749105,Ward 115,Entire condo,Entire home/apt,true,
3773489,Ward 54,Entire rental unit,Entire home/apt,false,1385.0
3789150,Ward 23,Entire home,Entire home/apt,true,2562.0
2561893,Ward 54,Entire rental unit,Entire home/apt,true,10572.0
4062263,Ward 23,Entire cottage,Entire home/apt,true,2093.0
4237546,Ward 61,Entire home,Entire home/apt,false,4991.0
4260343,Ward 115,Entire rental unit,Entire home/apt,false,848.0
4560861,Ward 54,Private room in home,Private room,false,1034.0
4851293,Ward 113,Entire home,Entire home/apt,true,2380.0
4858427,Ward 77,Entire guest suite,Entire home/apt,true,1021.0
4954662,Ward 53,Private room in home,Private room,false,1105.0
5011026,Ward 77,Private room in home,Private room,true,885.0
1739061,Ward 77,Entire guest suite,Entire home/apt,true,523.0
731764,Ward 54,Entire rental unit,Entire home/apt,true,2361.0
1795805,Ward 57,Entire rental unit,Entire home/apt,false,704.0
1852938,Ward 115,Entire rental unit,Entire home/apt,,3832.0
771176,Ward 77,Entire rental unit,Entire home/apt,true,870.0
1948161,Ward 77,Entire rental unit,Entire home/apt,true,950.0
3047690,Ward 74,Entire cottage,Entire home/apt,true,2300.0
2112960,Ward 61,Entire home,Entire home/apt,false,12995.0
2185497,Ward 115,Entire rental unit,Entire home/apt,true,836.0
3799507,Ward 77,Entire bungalow,Entire home/apt,true,1624.0
4014789,Ward 115,Entire condo,Entire home/apt,true,
4417420,Ward 54,Entire rental unit,Entire home/apt,true,1250.0
4201424,Ward 57,Private room in cottage,Private room,true,381.0
4214096,Ward 54,Entire rental unit,Entire home/apt,false,5217.0
4887141,Ward 83,Entire rental unit,Entire home/apt,false,720.0
5323318,Ward 64,Private room in guest suite,Private room,true,650.0
36347,Ward 115,Entire loft,Entire home/apt,false,1022.0
122455,Ward 115,Entire home,Entire home/apt,false,3897.0
1058642,Ward 54,Entire guesthouse,Entire home/apt,true,2302.0
473856,Ward 115,Entire rental unit,Entire home/apt,true,2172.0
1666477,Ward 59,Entire guest suite,Entire home/apt,true,705.0
1930799,Ward 64,Entire loft,Entire home/apt,true,1500.0
2765720,Ward 74,Entire home,Entire home/apt,false,3104.0
3607015,Ward 54,Private room in rental unit,Private room,true,619.0
3969690,Ward 55,Entire loft,Entire home/apt,true,880.0
4090938,Ward 54,Entire rental unit,Entire home/apt,true,1672.0
4438981,Ward 54,Entire rental unit,Entire home/apt,true,2226.0
4248690,Ward 23,Entire rental unit,Entire home/apt,true,1008.0
4267198,Ward 23,Private room in home,Private room,false,975.0
4569367,Ward 77,Entire rental unit,Entire home/apt,true,
4933142,Ward 115,Entire rental unit,Entire home/apt,true,845.0
5255446,Ward 115,Entire townhouse,Entire home/apt,true,1695.0
668544,Ward 74,Entire rental unit,Entire home/apt,false,5152.0
690609,Ward 57,Entire home,Entire home/apt,false,1235.0
1773094,Ward 115,Entire villa,Entire home/apt,true,12010.0
2051863,Ward 54,Entire guest suite,Entire home/apt,true,1947.0
3030455,Ward 54,Entire rental unit,Entire home/apt,true,2600.0
2080372,Ward 115,Entire loft,Entire home/apt,false,1044.0
3096547,Ward 54,Entire rental unit,Entire home/apt,true,2643.0
3265646,Ward 62,Entire guesthouse,Entire home/apt,true,1650.0
3911634,Ward 77,Entire rental unit,Entire home/apt,true,1858.0
